unnamed:_0.1,unnamed:_0,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density,data_group,food_name,calories
582,582,0.6,0.2,0.2,0.061,78.4,3.5,2.8,3.7,0.0,0.099,122.9,0.0,0.0,0.2,0.051,0.0,0.082,1.8,0.2,0.2,42.4,0.0,0.4,0.011,33.0,0.2,0.6,43.3,0.8,55.6,558.3,0.086,85.964,group5,cassava,330
583,583,0.7,0.1,0.004,0.3,16.2,7.0,4.9,5.0,0.0,0.5,137.3,0.0,0.4,0.016,0.0,0.1,1.8,0.3,0.1,13.0,0.0,0.8,0.057,36.8,0.1,1.5,25.6,0.3,78.4,252.8,0.035,0.7,78.1,group5,peas carrots cooked,77
584,584,0.1,0.049,0.085,0.079,1.5,0.6,0.6,1.0,0.0,0.083,44.5,0.0,0.09,0.051,0.0,0.006,0.1,0.092,0.026,1.9,0.0,0.011,0.099,15.5,0.07,0.5,6.6,0.002,14.1,116.1,0.045,0.1,21.1,group5,romaine lettuce,8
585,585,0.3,0.067,0.019,0.1,41.8,0.8,2.3,6.2,0.0,0.017,104.4,0.0,0.0,0.2,0.002,0.0,0.001,0.8,0.5,0.4,25.7,0.0,0.5,0.025,25.5,0.3,0.8,31.5,0.6,82.5,1224.0,0.1,51.39,group5,yam raw,177
586,586,2.2,0.4,0.4,1.0,65.3,58.5,3.7,3.7,0.0,1.3,168.8,0.0,0.0,0.067,0.0,0.066,0.0,0.2,0.022,14.7,0.0,0.4,0.2,56.4,0.2,3.4,51.5,0.2,53.9,490.0,0.091,0.6,149.4,group5,chowchow pickles,296
587,587,0.029,0.0,0.0,0.0,4.5,0.1,0.3,1.0,0.0,0.059,7.7,0.0,0.019,0.051,0.0,0.02,0.1,0.0,0.027,0.7,0.0,0.0,0.0,16.5,0.037,0.2,8.0,0.097,3.9,19.8,0.087,0.05,23.255,group5,prairie turnips raw,20
588,588,0.017,0.091,0.008,0.014,4.3,1.6,1.4,2.2,0.0,0.007,63.7,0.0,0.0,0.003,0.06,0.0,0.094,0.2,0.1,0.1,21.7,0.0,0.1,0.066,24.5,0.071,0.3,19.6,0.1,29.4,161.0,0.014,8.199,group5,savoy cabbage raw,19
589,589,0.045,0.005,0.033,0.091,1.2,0.5,0.3,0.6,0.0,0.019,38.2,0.0,0.0,0.041,0.041,0.0,0.002,0.1,0.032,0.007,1.2,0.0,0.1,0.086,16.0,0.056,0.063,4.4,0.01,9.6,104.0,0.031,2.212,group5,celery raw,6
590,590,0.3,0.0,0.0,0.0,9.1,0.0,1.5,0.0,0.0,0.084,143.1,0.0,0.033,0.091,0.0,0.065,0.7,0.3,0.2,5.6,0.0,0.0,0.0,40.3,0.044,0.7,18.6,0.1,102.3,268.2,0.093,0.3,57.5,group5,celeriac cooked,42
591,591,0.5,0.087,0.2,0.073,5.9,0.0,3.3,4.2,0.0,0.025,138.3,0.0,0.1,0.2,0.0,0.1,1.0,0.3,0.2,195.0,0.0,0.0,0.0,315.0,0.1,2.3,16.5,0.6,42.0,673.5,0.054,0.3,526.2,group5,mustard spinach raw,33
